PtMin	PtMax	D+/D0	Ds/D0
0.0	0.2	0.5011	0.3819
0.2	0.4	0.4967	0.3769
0.4	0.6	0.4959	0.3777
0.6	0.8	0.4949	0.3869
0.8	1.0	0.4989	0.3876
1.0	1.2	0.4939	0.3907
1.2	1.4	0.4924	0.3921
1.4	1.6	0.4945	0.3961
1.6	1.8	0.4927	0.3988
1.8	2.0	0.4893	0.4025
2.0	2.5	0.4911	0.4008
2.5	3.0	0.4905	0.3936
3.0	3.5	0.4928	0.3906
3.5	4.0	0.4934	0.3782
4.0	5.0	0.4930	0.3647
5.0	6.0	0.4829	0.3387
6.0	7.0	0.4811	0.3211
7.0	8.0	0.4762	0.3043
8.0	9.0	0.4729	0.2771
9.0	10.0	0.4571	0.2784
10.0	12.0	0.4474	0.2691
12.0	14.0	0.4590	0.2509
14.0	16.0	0.4238	0.2289
