D+/D0 pp, #sqrt{s}=13 TeV, HTL
PtMin PtMax  D+/D0
 0.0  0.2   0.4965
 0.2  0.4   0.5026
 0.4  0.6   0.4960
 0.6  0.8   0.4920
 0.8  1.0   0.4902
 1.0  1.2   0.4898
 1.2  1.4   0.4940
 1.4  1.6   0.4888
 1.6  1.8   0.4902
 1.8  2.0   0.4844
 2.0  2.5   0.4910
 2.5  3.0   0.4904
 3.0  3.5   0.4907
 3.5  4.0   0.4979
 4.0  5.0   0.4950
 5.0  6.0   0.4896
 6.0  7.0   0.4810
 7.0  8.0   0.4752
 8.0  9.0   0.4515
 9.0 10.0   0.4607
10.0 12.0   0.4625
12.0 14.0   0.4509
14.0 16.0   0.4240

Ds/D0 pp, #sqrt{s}=13 TeV, HTL
PtMin PtMax  Ds/D0
 0.0  0.2   0.3826
 0.2  0.4   0.3810
 0.4  0.6   0.3814
 0.6  0.8   0.3815
 0.8  1.0   0.3835
 1.0  1.2   0.3890
 1.2  1.4   0.3928
 1.4  1.6   0.3915
 1.6  1.8   0.3963
 1.8  2.0   0.3962
 2.0  2.5   0.4014
 2.5  3.0   0.3986
 3.0  3.5   0.3907
 3.5  4.0   0.3874
 4.0  5.0   0.3713
 5.0  6.0   0.3463
 6.0  7.0   0.3225
 7.0  8.0   0.3088
 8.0  9.0   0.2890
 9.0 10.0   0.2839
10.0 12.0   0.2646
12.0 14.0   0.2349
14.0 16.0   0.2457

Lc/D0 pp, #sqrt{s}=13 TeV, HTL
PtMin PtMax  Lc/D0
 0.0  0.2   0.2950
 0.2  0.4   0.2963
 0.4  0.6   0.2971
 0.6  0.8   0.3077
 0.8  1.0   0.3257
 1.0  1.2   0.3438
 1.2  1.4   0.3578
 1.4  1.6   0.3788
 1.6  1.8   0.3993
 1.8  2.0   0.4268
 2.0  2.5   0.4602
 2.5  3.0   0.5057
 3.0  3.5   0.5302
 3.5  4.0   0.5503
 4.0  5.0   0.5371
 5.0  6.0   0.4940
 6.0  7.0   0.4259
 7.0  8.0   0.3696
 8.0  9.0   0.3086
 9.0 10.0   0.2660
10.0 12.0   0.2181
12.0 14.0   0.1738
14.0 16.0   0.1287

Xi0c/D0 pp, #sqrt{s}=13 TeV, HTL
PtMin PtMax  Xi0c/D0
 0.0  0.2   0.0657
 0.2  0.4   0.0655
 0.4  0.6   0.0680
 0.6  0.8   0.0722
 0.8  1.0   0.0746
 1.0  1.2   0.0783
 1.2  1.4   0.0828
 1.4  1.6   0.0854
 1.6  1.8   0.0911
 1.8  2.0   0.0949
 2.0  2.5   0.1054
 2.5  3.0   0.1168
 3.0  3.5   0.1216
 3.5  4.0   0.1276
 4.0  5.0   0.1236
 5.0  6.0   0.1078
 6.0  7.0   0.0866
 7.0  8.0   0.0712
 8.0  9.0   0.0546
 9.0 10.0   0.0423
10.0 12.0   0.0308
12.0 14.0   0.0205
14.0 16.0   0.0147

------------------------

D+/D0 pp, #sqrt{s}=13 TeV, lQCD
PtMin PtMax  D+/D0
 0.0  0.2   0.5011
 0.2  0.4   0.4967
 0.4  0.6   0.4959
 0.6  0.8   0.4949
 0.8  1.0   0.4989
 1.0  1.2   0.4939
 1.2  1.4   0.4924
 1.4  1.6   0.4945
 1.6  1.8   0.4927
 1.8  2.0   0.4893
 2.0  2.5   0.4911
 2.5  3.0   0.4905
 3.0  3.5   0.4928
 3.5  4.0   0.4934
 4.0  5.0   0.4930
 5.0  6.0   0.4829
 6.0  7.0   0.4811
 7.0  8.0   0.4762
 8.0  9.0   0.4729
 9.0 10.0   0.4571
10.0 12.0   0.4474
12.0 14.0   0.4590
14.0 16.0   0.4238

Ds/D0 pp, #sqrt{s}=13 TeV, lQCD
