PtMin	PtMax	D+/D0	Ds/D0
0.0	0.2	0.4965	0.3826
0.2	0.4	0.5026	0.3810
0.4	0.6	0.4960	0.3814
0.6	0.8	0.4920	0.3815
0.8	1.0	0.4902	0.3835
1.0	1.2	0.4898	0.3890
1.2	1.4	0.4940	0.3928
1.4	1.6	0.4888	0.3915
1.6	1.8	0.4902	0.3963
1.8	2.0	0.4844	0.3962
2.0	2.5	0.4910	0.4014
2.5	3.0	0.4904	0.3986
3.0	3.5	0.4907	0.3907
3.5	4.0	0.4979	0.3874
4.0	5.0	0.4950	0.3713
5.0	6.0	0.4896	0.3463
6.0	7.0	0.4810	0.3225
7.0	8.0	0.4752	0.3088
8.0	9.0	0.4515	0.2890
9.0	10.0	0.4607	0.2839
10.0	12.0	0.4625	0.2646
12.0	14.0	0.4509	0.2349
14.0	16.0	0.4240	0.2457
